City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carupano,VE,77.83,overcast clouds,10.6678,-63.2585,Hotel La dorada
1,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
2,Butaritari,KI,81.5,clear sky,3.0707,172.7902,Isles Sunset Lodge
4,Manjeshwar,IN,79.75,moderate rain,12.7194,74.8861,SOOFINAGAR
10,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
12,San Patricio,US,84.02,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
13,Chinsali,ZM,83.21,broken clouds,-10.5414,32.0816,Chisakatu Guest House
15,Dothan,US,76.17,overcast clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
16,Sinnamary,GF,80.8,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
17,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
19,Rikitea,PF,74.61,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Pangkalanbuun,ID,76.06,light rain,-2.6833,111.6167,Grand Kecubung Hotel
25,Bani,DO,87.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
26,Arrecife,ES,78.78,scattered clouds,28.963,-13.5477,Hotel Lancelot
27,Alcacer Do Sal,PT,75.02,overcast clouds,38.3733,-8.5144,Hotel Ordem de Santiago
28,Cape Town,ZA,73.81,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
29,Karratha,AU,78.58,clear sky,-20.7377,116.8463,ibis Styles Karratha
30,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
31,Siguiri,GN,89.53,overcast clouds,11.6667,-9.5,
32,Isabela,PH,77.05,scattered clouds,6.7085,121.9711,Isawad Resort
33,Puerto Ayora,EC,71.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Isangel,VU,74.35,scattered clouds,-19.55,169.2667,Tanna Lodge
36,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Ascension,US,81.1,overcast clouds,30.2169,-90.9001,Highland Inn
39,Bethel,US,70.2,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
42,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
45,Ponta Do Sol,PT,74.12,overcast clouds,32.6667,-17.1,Hotel do Campo
47,Vallenar,CL,75.47,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
51,Dakar,SN,90.48,clear sky,14.6937,-17.4441,Redface Studios Meublés
52,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
55,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Akil,MX,91.27,scattered clouds,20.25,-89.35,Cabañas Pajaro Azul
58,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
61,Hilo,US,71.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
63,Santa Fe,AR,88.75,clear sky,-31.6333,-60.7,Conquistador Hotel
64,Jalu,LY,84.09,scattered clouds,29.0331,21.5482,صاحبة الفخامة
66,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
70,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
72,Chuy,UY,79.41,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
74,Bonthe,SL,79.68,light rain,7.5264,-12.505,Bonthe Holiday Village
75,Basco,PH,79.61,broken clouds,20.4487,121.9702,Nathaniel's Lodge
80,Beihai,CN,70.9,light rain,21.4833,109.1,21 Degree Hostel
81,Rocha,UY,77.05,clear sky,-34.4833,-54.3333,Beleza Pura B&B
82,Cidreira,BR,73.87,clear sky,-30.1811,-50.2056,Hotel Castelo
85,Baculin,PH,78.71,scattered clouds,7.4525,126.5842,Shovy's Cove
86,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
88,Riberalta,BO,71.8,broken clouds,-10.9833,-66.1,Hotel Colonial
89,Kawalu,ID,72.1,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
92,Ambilobe,MG,79.61,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
95,Port Moresby,PG,78.22,clear sky,-9.4431,147.1797,Lamana Hotel (Port Moresby)
96,Itoman,JP,73.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
98,Dera Bugti,PK,72.59,clear sky,29.0307,69.151,Nawab Bugti House
106,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
108,Pangai,TO,76.15,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
114,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
119,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
122,Sibolga,ID,77.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
